code,title,level,units,coordinating_unit,source
TOUR1000,"Principles of Tourism, Hospitality and Events",Undergraduate,2.0,Business School,https://programs-courses.uq.edu.au/course.html?course_code=TOUR1000
TOUR7020,"Tourism, Hospitality & Event Industries",Postgraduate Coursework,2.0,Business School,https://programs-courses.uq.edu.au/course.html?course_code=TOUR7020
TOUR7023,"Managing Resources in Tourism, Hospitality & Events",Postgraduate Coursework,2.0,Business School,https://programs-courses.uq.edu.au/course.html?course_code=TOUR7023
TOUR7031,Visitor Management,Postgraduate Coursework,2.0,Business School,https://programs-courses.uq.edu.au/course.html?course_code=TOUR7031
TOUR7032,Marketing & Distribution Research Project,Postgraduate Coursework,2.0,Business School,https://programs-courses.uq.edu.au/course.html?course_code=TOUR7032
WRIT1001,Writing for International Students,Undergraduate,2.0,Languages & Cultures School,https://programs-courses.uq.edu.au/course.html?course_code=WRIT1001
WRIT6001,Academic English & Thesis Writing,Postgraduate Coursework,2.0,Languages & Cultures School,https://programs-courses.uq.edu.au/course.html?course_code=WRIT6001
WRIT7040,Industry Internship,Postgraduate Coursework,2.0,Communication & Arts School,https://programs-courses.uq.edu.au/course.html?course_code=WRIT7040
WRIT7075,Writing the Speculative Short Story,Postgraduate Coursework,2.0,Communication & Arts School,https://programs-courses.uq.edu.au/course.html?course_code=WRIT7075
WRIT7300,Dissertation,Postgraduate Coursework,6.0,Communication & Arts School,https://programs-courses.uq.edu.au/course.html?course_code=WRIT7300
